15113374 start          screen= 0 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=0 has_disp=0 paused=0 diag=0 supUI=0 | conv=0 pub=0 decf=0 vpkt=0 gate=1 dfps=0 rfps=0 aclk=0.00 vclk=0.00
15122181 screen-change  screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=0 paused=0 diag=0 supUI=0 | conv=0 pub=0 decf=0 vpkt=5 gate=1 dfps=0 rfps=20 aclk=0.00 vclk=0.00
15122192 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=0 paused=0 diag=0 supUI=0 | conv=0 pub=0 decf=1 vpkt=44 gate=1 dfps=0 rfps=20 aclk=0.00 vclk=821.66
15123210 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=24 pub=24 decf=25 vpkt=68 gate=1 dfps=9 rfps=35 aclk=0.98 vclk=822.62
15124233 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=50 pub=50 decf=51 vpkt=94 gate=1 dfps=26 rfps=60 aclk=2.01 vclk=823.66
15125247 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=75 pub=75 decf=76 vpkt=119 gate=1 dfps=24 rfps=60 aclk=3.03 vclk=824.66
15126266 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=101 pub=101 decf=102 vpkt=145 gate=1 dfps=26 rfps=60 aclk=4.01 vclk=825.70
15127281 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=127 pub=127 decf=128 vpkt=171 gate=1 dfps=24 rfps=60 aclk=5.03 vclk=826.74
15128302 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=152 pub=152 decf=153 vpkt=196 gate=1 dfps=25 rfps=60 aclk=6.06 vclk=827.74
15129315 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=177 pub=177 decf=178 vpkt=221 gate=1 dfps=26 rfps=60 aclk=7.08 vclk=828.74
15130338 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=202 pub=202 decf=203 vpkt=246 gate=1 dfps=25 rfps=60 aclk=8.11 vclk=829.74
