# ps5-native-app-boilerplate - Observed libc API-surface manifest.
# Copyright (C) 2026 BlackBearReloaded
# SPDX-License-Identifier: GPL-3.0-or-later
#
# Interface metadata only: NID | ELF binding | ELF type | advertised size.
# No proprietary instructions, object contents, or implementation data.
H2e8t5ScQGc|1|2|0x214
P330P3dFF68|1|1|0x4
z8GPiQwaAEY|1|2|0x467
8G2LB+A3rzg|1|2|0x4B
XKRegsFpEpk|1|2|0x18
eLdDw6l0-bU|1|2|0xE1
Ye20uNnlglA|1|2|0x8
8xXiEPby8h8|1|2|0x8
jT3xiGpA3B4|1|2|0x43
fPxypibz2MY|1|2|0x12
+my9jdHCMIQ|1|2|0x12
fLcU5G6Qrjs|1|2|0x12
NesIgTmfF0Q|1|2|0x78
LEvm25Sxi7I|1|2|0xB
EOLQfNZ9HpE|1|2|0x17F
MzsycG6RYto|1|2|0xFF
St9nbxSoezk|1|2|0x2C
cYNk9M+7YkY|1|2|0x10
0uAUs3hYuG4|1|2|0x13
qPe7-h5Jnuc|1|2|0xA6
hzX87C+zDAY|1|2|0xB1
2UFh+YKfuzk|1|2|0xA9
NL836gOLANs|1|2|0xD6
-e-F9HjUFp8|1|2|0x114
NdvAi34vV3g|1|2|0x10F
vj2WUi2LrfE|1|2|0x114
9kOFELic7Pk|1|2|0x114
Bo5wtXSj4kc|1|2|0x114
lb+HLLZkbbw|1|2|0xC9
5bBacGLyLOs|1|2|0x3D
fiiNDnNBKVY|1|2|0x90
1NFvAuzw8dA|1|2|0x293
tdcAqgCS+uI|1|2|0x257
h8GwqPFbu6I|1|2|0x40
w1NxRBQqfmQ|1|2|0x114
G7yOZJObV+4|1|2|0x5D
-B76wP6IeVA|1|2|0x114
3BytPOQgVKc|1|2|0x133
jbj2wBoiCyg|1|2|0x122
xEszJVGpybs|1|2|0x156
24m4Z4bUaoY|1|2|0xF4
K+gcnFFJKVc|1|2|0x176
5Xa2ACNECdo|1|2|0x14E
-g26XITGVgE|1|2|0x3F
o+ok6Y+DtgY|1|2|0xCF
NC4MSB+BRQg|1|2|0x186
YNzNkJzYqEg|1|2|0x14E
-vXEQdRADLI|1|2|0x139
Im55VJ-Bekc|1|2|0x15E
tQNolUV1q5A|1|2|0xF4
GhTZtaodo7o|1|2|0x74
JjPXy-HX5dY|1|2|0x74
XX9KWzJvRf0|1|2|0x74
Wvm90I-TGl0|1|2|0x74
YfJUGNPkbK4|1|2|0x73
