# ps5-native-app-boilerplate - Clean-room runtime import manifest.
# Copyright (C) 2026 BlackBearReloaded
# SPDX-License-Identifier: GPL-3.0-or-later
#
# name|encoded library/module suffix|PLT relocation|GLOB_DAT relocation
__elf_phdr_match_addr|#A#B|1|0
__error|#A#B|1|0
__progname|#A#B|0|1
__pthread_cxa_finalize|#A#B|1|1
__stack_chk_fail|#A#B|1|0
__stack_chk_guard|#A#B|0|1
__tls_get_addr|#A#B|1|0
_close|#A#B|1|0
_exit|#A#B|1|0
_is_signal_return|#A#B|1|0
_nanosleep|#A#B|1|0
_open|#A#B|1|0
_read|#A#B|1|0
_sceKernelRtldSetApplicationHeapAPI|#A#B|1|0
_sceKernelRtldThreadAtexitDecrement|#A#B|1|0
_sceKernelRtldThreadAtexitIncrement|#A#B|1|0
_sceKernelSetThreadAtexitCount|#A#B|1|0
_sceKernelSetThreadAtexitReport|#A#B|1|0
_sceKernelSetThreadDtors|#A#B|1|0
_sigprocmask|#A#B|1|0
_write|#A#B|1|0
clock_gettime|#A#B|1|0
getrusage|#A#B|1|0
gettimeofday|#A#B|1|0
lseek|#A#B|1|0
nanosleep|#A#B|1|0
pthread_cond_broadcast|#A#B|1|0
pthread_cond_wait|#A#B|1|0
pthread_mutex_lock|#A#B|1|0
pthread_mutex_unlock|#A#B|1|0
pthread_rwlock_rdlock|#A#B|1|0
pthread_rwlock_unlock|#A#B|1|0
pthread_rwlock_wrlock|#A#B|1|0
rmdir|#A#B|1|0
sceKernelChmod|#A#B|1|0
sceKernelClose|#A#B|1|0
sceKernelConvertLocaltimeToUtc|#A#B|1|0
sceKernelConvertUtcToLocaltime|#A#B|1|0
sceKernelDebugRaiseException|#A#B|1|0
sceKernelDebugRaiseExceptionOnReleaseMode|#A#B|1|0
sceKernelGetModuleInfoForUnwind|#A#B|1|0
sceKernelGetModuleInfoFromAddr|#A#B|1|0
sceKernelGetProcParam|#A#B|1|0
sceKernelGetProcessTime|#A#B|1|0
sceKernelGetSanitizerMallocReplaceExternal|#A#B|1|0
sceKernelGetSanitizerNewReplaceExternal|#A#B|1|0
sceKernelGetdents|#A#B|1|0
sceKernelInternalMemoryGetModuleSegmentInfo|#A#B|1|0
sceKernelIsAddressSanitizerEnabled|#A#B|1|0
sceKernelMapNamedFlexibleMemory|#A#B|1|0
sceKernelMkdir|#A#B|1|0
sceKernelMlock|#A#B|1|0
sceKernelMunmap|#A#B|1|0
sceKernelOpen|#A#B|1|0
sceKernelRename|#A#B|1|0
sceKernelStat|#A#B|1|0
sceKernelTruncate|#A#B|1|0
sceKernelUnlink|#A#B|1|0
sceKernelUtimes|#A#B|1|0
scePthreadAttrDestroy|#A#B|1|0
scePthreadAttrGet|#A#B|1|0
scePthreadAttrGetaffinity|#A#B|1|0
scePthreadAttrGetdetachstate|#A#B|1|0
scePthreadAttrGetschedparam|#A#B|1|0
scePthreadAttrInit|#A#B|1|0
scePthreadAttrSetinheritsched|#A#B|1|0
scePthreadAttrSetschedparam|#A#B|1|0
scePthreadAttrSetstacksize|#A#B|1|0
scePthreadCondBroadcast|#A#B|1|0
scePthreadCondDestroy|#A#B|1|0
scePthreadCondInit|#A#B|1|0
scePthreadCondSignal|#A#B|1|0
scePthreadCondTimedwait|#A#B|1|0
scePthreadCondWait|#A#B|1|0
scePthreadCreate|#A#B|1|0
scePthreadDetach|#A#B|1|0
scePthreadEqual|#A#B|1|0
scePthreadExit|#A#B|1|0
scePthreadGetname|#A#B|1|0
scePthreadGetspecific|#A#B|1|0
scePthreadJoin|#A#B|1|0
scePthreadKeyCreate|#A#B|1|0
scePthreadKeyDelete|#A#B|1|0
scePthreadMutexDestroy|#A#B|1|0
scePthreadMutexInit|#A#B|1|0
scePthreadMutexLock|#A#B|1|0
scePthreadMutexTimedlock|#A#B|1|0
scePthreadMutexTrylock|#A#B|1|0
scePthreadMutexUnlock|#A#B|1|0
scePthreadMutexattrDestroy|#A#B|1|0
scePthreadMutexattrInit|#A#B|1|0
scePthreadMutexattrSettype|#A#B|1|0
scePthreadOnce|#A#B|1|0
scePthreadSelf|#A#B|1|0
scePthreadSetspecific|#A#B|1|0
malloc|#B#C|1|0
free|#B#C|1|0
posix_memalign|#B#C|1|0
sceLibcHeapGetTraceInfo|#B#C|1|0
sceLibcInternalBacktraceForGame|#B#C|1|0
sceLibcInternalHeapErrorReportForGame|#B#C|1|0
sceSysmoduleGetModuleInfoForUnwind|#C#D|1|0
